url,types,name,desc_snippet,release_date,developer,publisher,popular_tags,game_details,languages,achievements,genre,game_description,mature_content,minimum_requirements,recommended_requirements,price
https://store.steampowered.com/app/327090/Out_of_Reach/,app,Out of Reach,"You?€?re a castaway stranded in the middle of nowhere. The storm is gone, the worst certainly not. Look for food and resources, craft gear, make a shelter. These are the basics, you will need much more to stay alive on this cut-off-the-world, yet not desert island. Build and burn, sail and explore, stay out of reach!",2019-01-01,Space Boat Studios,"Space Boat Studios,Space Boat Studios","Survival,Open World,Crafting,Multiplayer,Building,Massively Multiplayer,Exploration,Action,Sandbox,Adventure,Base Building,PvP,Co-op,Early Access,First-Person,Simulation,RPG,Hunting,Indie,Realistic","Single-player,Multi-player,Online Multi-Player,Local Multi-Player,MMO,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Valve Anti-Cheat enabled","English,Polish,Russian,German,Spanish - Spain,Czech,French,Traditional Chinese,Simplified Chinese,Japanese,Korean,Danish,Portuguese - Brazil,Turkish",44,"Action,Adventure,Indie,Massively Multiplayer,RPG,Simulation"," About This Game  The one who said that a combination of thunder storms and sea rocks is the worst thing that can happen to sailors, clearly didn't have to survive one. The real deal starts the morning after, and this is the exact time when you, dear player enter the cruel world of Out of Reach . Although the archipelago was considered deserted before ships started to crash into sea rocks nearby, every kind of area on the island has its natural inhabitants who just don't give a warm welcome. Thinking twice every time before moving ahead could be one of the smartest things to do. Staying on a beach after crushing your boat allows you to hunt for slowly moving animals and gives the ability to see at long distances. Disadvantage - you can be seen from exactly the same distance and there's always someone to call you his own slow-moving food. In order to stay on the top of the food chain, you need to work harder than others. Everything starts from finding certain resources. Chop trees, mine stone, gather flax and food. Equip yourself and start searching for more sophisticated materials like copper and tin to produce bronze and other alloys. Use a variety of workshops, furnaces and tools to craft armour and weapons. Check which combination of gear has better performance and suits your game style best. Upgrade equipment using new resources or items obtained in battle. Store, collect or trade your stuff with other players! Looking for a place to store your timber or a quiet and cosy room to forge a sword and tan a skin of an elephant? Build your own stronghold! Use dozens of building elements like walls, stairs and floors to assemble the house of your dreams in an environment of your choice... or just take control of one. The best solutions to problems are most often invented during battles. Everyday life on islands full of castaways is not an exception. To successfully protect your territory or gain control of a new one, you will need the advantage. Ballista The greater the distance, the safer you are. Ballista may be slow to load and unable to move but the ability to pierce a target with a 1,5m dart few hundred meters away in no time shouldn't be underestimated. Trebuchet Unusual situations require extraordinary solutions. When an axe doesn't help or doors are just too thick it's time for a trebuchet. Construction costs both time and resources but nothing surprises like a forced entry through a wall. Traps Well, there's actually one thing that surprises more - a tricky and deadly trap! Use trip wires at the doors, stairs or wherever you want, connect them with ballistae or boulder throwers, place a bait and wait for the unwelcome guests. Glider When everything fails, you might consider an attack from above. Construct a tower, install a launcher ramp and take off on a glider to bomb enemies' bases, get through walls or just take a look from a different perspective. "," Mature Content Description  The developers describe the content like this:  This Game may contain content not appropriate for all ages, or may not be appropriate for viewing at work: General Mature Content  ","Minimum:,Requires a 64-bit processor and operating system,OS:,Windows 7 64-bit,Processor:,Intel Dual-Core 2.4 GHz or AMD Dual-Core Athlon 2.5 GHz,Memory:,6 GB RAM,Graphics:,NVIDIA?? GeForce?? GTX 750 or equivalent,DirectX:,Version 9.0c,Network:,Broadband Internet connection,Storage:,6 GB available space,Sound Card:,DirectX compatible sound card,Minimum:,Requires a 64-bit processor and operating system,OS:,OS X Lion 10.7,Processor:,2 GHz,Memory:,4 GB RAM,Graphics:,NVIDIA?? GeForce?? GTX 750 or equivalent,Network:,Broadband Internet connection,Storage:,6 GB available space,Minimum:,Requires a 64-bit processor and operating system,OS:,Ubuntu 12.04 64-bit,Processor:,2 GHz,Memory:,4 GB RAM,Graphics:,NVIDIA?? GeForce?? GTX 750 or equivalent,Network:,Broadband Internet connection,Storage:,6 GB available space","Recommended:,Requires a 64-bit processor and operating system,OS:,Windows 7 64-bit,Processor:,Intel Core i5-2300 or AMD Phenom II X4 940 or better,Memory:,8 GB RAM,Graphics:,DirectX 11 compliant video card with 2GB of RAM (NVIDIA?? GeForce?? GTX 950 or better),DirectX:,Version 11,Network:,Broadband Internet connection,Storage:,6 GB available space,Sound Card:,DirectX compatible sound card,Recommended:,Requires a 64-bit processor and operating system,OS:,OS X Mavericks,Processor:,3 GHz,Memory:,8 GB RAM,Network:,Broadband Internet connection,Storage:,6 GB available space,Recommended:,Requires a 64-bit processor and operating system,OS:,Ubuntu 14.04 64-bit,Processor:,3 GHz,Memory:,8 GB RAM,Network:,Broadband Internet connection,Storage:,6 GB available space",14.99,
https://store.steampowered.com/app/722960/CASE_2_Animatronics_Survival/,app,CASE 2: Animatronics Survival,"CASE 2: Animatronics Survival is a horror game that is available in two modes. Online mode lets one or more players take on the role of animatronics, ready to crush everyone and everything. The other three are survivors. How did this happen? You?€?ll have to find out!",2019-01-04,Walnut LLC,"Walnut LLC,Walnut LLC","Horror,Action,Adventure,Indie,Survival Horror,First-Person,Massively Multiplayer,Robots,Multiplayer,Simulation,Stealth,Online Co-Op,Atmospheric,Psychological Horror,Difficult,Early Access,Story Rich,PvP,Shooter,Supernatural","Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,Steam Cloud","English,Russian,Ukrainian,Simplified Chinese,Italian,Japanese,Polish,Spanish - Spain,Portuguese - Brazil,German,French,Korean",18,"Action,Adventure,Indie,Massively Multiplayer,Simulation"," About This Game  Two years before the attack on the police station, there was a terrible tragedy in the city, which led to the closure of the amusement park. Some believe it was an accident?€?others, that it was a well-planned act of intimidation. Leaflets about missing people filled the city streets. You play as Jack. He is a man who has lost everything. Soon he?€?ll have to pay for his crime. The past has finally caught up with him... Try to save him. Features: Play online with friends as the three survivors - try to avoid their terrible fate; A well-considered story with its own characteristics; Unexpected situations that will make you think; A lot of different game locations; Control those feared by the army; Use the tablet: watch security cameras, manage and monitor the situation; Solve new puzzles, but look out... they are watching you. Your mission is to survive at any cost! Each animatronic has its own mortal features. Try not to get caught! Be shrewd! Use shelters and move silently. Inattention or too much caution are each swiftly punished.",,"Minimum:,Requires a 64-bit processor and operating system,OS:,Windows 7 SP1, Windows 8.1, Windows 10 (64-bit versions only),Processor:,Intel Core i5-2400 @ 3.1 GHz or AMD FX-6300 @ 3.5 GHz or equivalent,Memory:,8 GB RAM,Graphics:,NVIDIA GeForce GTX 670 or AMD R9 270 (2GB VRAM with Shader Model 5.0 or better),DirectX:,Version 11,Network:,Broadband Internet connection,Storage:,5 GB available space,Additional Notes:,64-Bit Operating System and CPU required.","Recommended:,Requires a 64-bit processor and operating system,OS:,Windows 7 SP1, Windows 8.1, Windows 10 (64-bit versions only),Processor:,Intel Core i7-4770 @ 3.4 GHz or AMD Ryzen 5 1600 @ 3.2 GHz or equivalent,Memory:,16 GB RAM,Graphics:,NVIDIA GeForce GTX 970 or AMD R9 290X (4GB VRAM with Shader Model 5.0 or better),DirectX:,Version 11,Network:,Broadband Internet connection,Storage:,5 GB available space,Additional Notes:,64-Bit Operating System and CPU required.",7.99,
https://store.steampowered.com/app/839450/7scarlet/,app,7'scarlet,The remote town of Okunezato is shaped like a crescent moon and shrouded in dark myths and legends. Take on the role of a brave young woman journeying into the unknown to uncover dangerous truths and locate her missing brother with her childhood friend.,2019-01-05,"IDEA FACTORY,TOYBOX","Intragames Co.,Ltd.,Intragames Co.,Ltd.","Adventure,Visual Novel,Otome,Female Protagonist,Anime","Single-player,Steam Achievements,Full controller support,Steam Cloud","English,Japanese,Korean,Traditional Chinese",23,Adventure," About This Game The remote town of Okunezato is shaped like a crescent moon and shrouded in dark myths and legends. Take on the role of a brave young woman journeying into the unknown to uncover dangerous truths and locate her missing brother with her childhood friend. They find the area rife with mystery and populated by intriguing characters, each harboring their own hidden motivations. Encounter heart-racing twists and turns as you dig deeper into the story. You'll explore the town caged by nature, Okunezato, and learn its many legends and folklores, and you'll help your friend Kagutsuchi Hino discover the mystery behind the disappearance of her older brother. Follow the footsteps of Kagutsuchi's older brother in 7'scarlet. Features * Choose your fate - Explore multiple character paths and change the course of the story. Play through the game multiple times to uncover the entire tale * Experience stunning artwork - Witness this colorful story coming to life with beautiful character illustrations and dynamic background effects * Unravel the enigma - Use your detective skills to question the eclectic members of the ""Mystery Club"" and solve this challenging interactive puzzle * Experience a crime-solving mystery from the famed developer Otomate, a maker of great visual novel/romance simulation adventures",,"Minimum:,OS:,Windows 7 SP1,Processor:,Intel Celeron G3900 or equivalent,Memory:,2 GB RAM,Graphics:,DirectX 9.0-compliant graphic card,DirectX:,Version 9.0,Storage:,4 GB available space,Sound Card:,DirectX-compliant","Recommended:,OS:,Windows 7 SP1 (64bit) or higher,Processor:,Intel Core i5-6500 or equivalent,Memory:,4 GB RAM,Graphics:,DirectX 9.0-compliant graphic card with 1024 MB VRAM or higher,DirectX:,Version 9.0,Storage:,4 GB available space,Sound Card:,DirectX-compliant",29.99,
https://store.steampowered.com/app/457760/The_Signal_From_Tlva/,app,The Signal From T??lva,"The Signal From T??lva is an open-world first-person shooter set on a distant, haunted, future world. Unlock savage weapons and recruit robots to fight alongside you as rival factions struggle to discover the source of the mysterious signal. What you discover will decide the fate of a world.",2019-01-06,Big Robot Ltd,"Big Robot Ltd,Big Robot Ltd","Open World,Robots,Action,FPS,Sci-fi,Indie,Singleplayer,Exploration,First-Person,Atmospheric,Shooter,Stealth,Story Rich,Space,Science,Futuristic,Sniper,Replay Value,Lore-Rich,Adventure","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",English,42,Action," About This Game The Signal From T??lva is a first-person game of exploration and combat, set in a beautiful, hand-crafted, hand-painted sci-fi world. Key Features Explore a single-player shooter set in a weird, sprawling, tranquil alien landscape. Fight a war of territory control against dynamic and ferocious AI. Recruit allied robots to fight alongside you. Equip electronic countermeasures, plasma shields, and savage beam weapons for intense skirmishing. Unlock the secrets of the signal and enjoy the rich, complex fiction behind the T??lva universe with our free PDF lorebook. Delve into science fiction mystery as you investigate the haunting highlands of T??lva. The Story So Far In the distant future, star-faring robotic factions sift through the ruins of an ancient civilisation.  On the highlands of T??lva, beneath the shadow of abandoned war machines, they found something. Was it the source of the signal you were so interested in? And will the trail lead to enlightenment, or something more sinister? You hijack a drone and you begin the search for yourself. The Signal From T??lva is a journey into a wild, weird science fiction landscape, filled with danger and beauty: you must survive terrible hazards, navigate through impossible spaces, and fight an ongoing battle to control this haunted, blighted world. Explore, ponder strange texts, and find tranquillity between the battles. You will make use of a range of powerful tools to overcome your enemies and uncover secrets: hack robots to battle alongside you, equip powerful weapons, and detonate savage defence systems. Fight, explore, and solve the mystery of The Signal From T??lva! ",,"Minimum:,Requires a 64-bit processor and operating system,OS:,Windows 7/8/10 (64-bit OS required),Processor:,Intel Core i5-2300 2.8 GHz, or equivalent.,Memory:,8 GB RAM,Graphics:,NVIDIA GTX 550 Ti 2GB, or equivalent.,Storage:,2 GB available space,Minimum:,Requires a 64-bit processor and operating system,OS:,OS X 10.10 Yosemite,Processor:,i5,Memory:,8 GB RAM,Graphics:,2 Gb+ Graphics,Minimum:,Requires a 64-bit processor and operating system","Recommended:,Requires a 64-bit processor and operating system,OS:,Windows 7/8/10 (64-bit OS required),Processor:,Intel Core i7 4790 3.6 GHz, or equivalent.,Memory:,16 GB RAM,Graphics:,NVIDIA 970 GTX , or equivalent.,Storage:,2 GB available space,Recommended:,Requires a 64-bit processor and operating system,OS:,10.12 Sierra,Processor:,i7,Memory:,16 GB RAM,Graphics:,2 Gb+ Graphics,Recommended:,Requires a 64-bit processor and operating system",19.99,
https://store.steampowered.com/app/249990/FORCED_Slightly_Better_Edition/,app,FORCED: Slightly Better Edition,"FORCED is a challenging 1-4-player game with co-op at its heart! A mix of tactical arcade action, RPG elements and puzzles will forge you and your friends together. As slaves in the toughest gladiator school of them all, you will face a plethora of unique trials - designed to be your death!",2019-01-07,BetaDwarf,"BetaDwarf,BetaDwarf","Action,Local Co-Op,Co-op,RPG,Indie,Online Co-Op,Puzzle,4 Player Local,Multiplayer,Fantasy,Hack and Slash,Local Multiplayer,Difficult,Top-Down,Adventure,Controller,PvE,Kickstarter,Singleplayer,Crowdfunded","Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Co-op,Online Co-op,Local Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards","English,German,Spanish - Spain,Portuguese,Russian,Swedish,Italian,Danish,French,Polish",24,"Action,Adventure,Indie,RPG"," About This Game Forced is a challenging one- to four-player co-op arcade action RPG with puzzle and tactical elements. You are cast as slaves in the toughest fantasy gladiator school of them all,  condemned to fight to the death, all the while attempting to win your freedom. You will face deadly trials and huge creatures, but Balfus, your Spirit Mentor will guide you in your quest to break the chains of oppression. Features 1-4 player campaign, carefully balanced for the number of players Local and online co-op, it's easy to plugin controllers and play on one computer A challenging Gladiator campaign with monstrous foes and tricky puzzles Four Unique Character Classes, with very distinctive play styles Skill focused: all enemy attacks can be evaded, it's your job to figure out how! The Spirit Mentor, an extra party member which players must control together to gain an upper hand over the enemy Survival Arena Mode (more modes coming) Mark Combat System. Apply marks to enemies with your basic attacks, to set them up for devastating special attacks from you or your allies. History BetaDwarf - the team behind FORCED spent 3 years developing it while living together. It all started by illegally moving into a classroom at a university - see: The Story (it has awesome pictures) News http://twitter.com/betadwarf // http://twitter.com/baboonlord // http://facebook.com/forcedthegame GET FREE DLC FOR ALL OUR GAMES The other awesome games we made in the same world: Minion Masters, a real time CCG where the Minions come alive! http://store.steampowered.com/app/489520 FORCED SHOWDOWN, a twin stick, rogue like deck building game! http://store.steampowered.com/app/265000 ",,"Minimum:,OS:,Windows 7, Windows 8,Processor:,Intel Core 2 Duo, AMD Athlon X2, or equal at 1.6GHz or better,Memory:,2 GB RAM,Graphics:,DirectX 9.0c-compatible, SM 3.0-compatible,DirectX:,Version 9.0c,Storage:,5 GB available space,Sound Card:,DirectX 9.0c-compatible, 16-bit,Minimum:,OS:,10.7.5 (Lion),Processor:,2.2 GHz Intel Core 2 Duo,Memory:,2 GB RAM,Graphics:,Integrated,Storage:,5 GB available space,Minimum:,OS:,Ubuntu 12.04,Processor:,2.2 GHz Intel Core 2 Duo,Memory:,2 GB RAM,Graphics:,DirectX 9.0c-compatible, SM 3.0-compatible,Storage:,5 GB available space","Recommended:,OS:,Windows 7, Windows 8,Processor:,QuadCore 2.0 GHz +,Memory:,8 GB RAM,Graphics:,NVIDIA GeForce 8800 GTS or better, 512MB+ VRAM,Storage:,5 GB available space,Sound Card:,DirectX 9.0c-compatible, 16-bit,Recommended:,OS:,10.8.2 (Mountain Lion),Processor:,2.4 GHz Intel Quad Core,Memory:,4 GB RAM,Graphics:,Nvidia Geforce GT 120 / ATI Radeon HD,Storage:,5 GB available space,Recommended:,OS:,Ubuntu 12.04,Processor:,QuadCore 2.0 GHz +,Memory:,4 GB RAM,Graphics:,Nvidia Geforce GT 120 / ATI Radeon HD,Storage:,5 GB available space",14.99,
https://store.steampowered.com/app/569630/Out_of_Ammo_Death_Drive/,app,Out of Ammo: Death Drive,"Based on the popular VR title Out of Ammo, the standalone sequel Death Drive presents an apocalyptic road trip developed exclusively for VR. Build defenses, scavenge scrap and and kill undead hordes however you see fit using an arsenal of firearms, melee weapons and mounted defenses.",2019-01-08,RocketWerkz,"RocketWerkz,RocketWerkz","Action,Gore,Violent,Strategy,Indie,VR","Single-player,Steam Achievements",English,8,"Action,Indie,Strategy"," About This Game Out of Ammo Death Drive is a hybrid game experience: one part base builder, one part first person action. Collect scrap, build emplacements and possess individual units. Make use of whatever you find on the battlefield to shoot, crush and maim the undead hordes hunting you down. Key Features Melee weapons and holster to store your weapons in. Collect and store weapons for later in the mission. A fully featured campaign across seven levels that takes the player through cities, malls and desolate landscapes in their search for safety. An expansive repertoire of realtime strategy gameplay - manage scrap collection, build and upgrade emplacements whilst managing ammo supply. A seamless combination of gunplay and melee action: Possess any unit and get in the fight. Mix and and match your offense by placing whatever weapon you see fit in either hand. Varied enemy types include shambling zombies, necromantic cultists and shoot-on-sight bandits, each with their own unique tactics and approach to combat. Multiple ways to upgrade your emplacements: Build a grenade launcher to decimate large hordes, an automated turret to lay down suppresive fire, or even build a kennel to summon Alby, the magical healing Dog ",,"Minimum:,OS:,Windows 10,Processor:,Intel i5 (2.8 GHZ or above),Memory:,4 GB RAM,Graphics:,Nvidia GTX 970,DirectX:,Version 11,Storage:,6 GB available space,Additional Notes:,Requires a room-scale VR setup (HTC Vive with controllers) with 2m x 1.5m space","Recommended:,OS:,Windows 10,Processor:,Intel i7 (3.2GHZ or Above),Memory:,8 GB RAM,Graphics:,Nvidia 1070,DirectX:,Version 11,Storage:,6 GB available space,Additional Notes:,Requires a room-scale VR setup (HTC Vive with controllers) with 2m x 1.5m space",9.99,
https://store.steampowered.com/app/1028730/Creo_God_Simulator/,app,Creo God Simulator,"Creo God Simulator is a game of building, decision-making, survival, and a ton of peasant smiting. As a newly-assigned lesser god, it's your job to build a society bit by bit, while convincing your new population to believe in you as their one true god.",2019-01-09,MKSM Design LLC,"MKSM Design LLC,MKSM Design LLC","Early Access,Simulation,Early Access,Strategy,Indie,City Builder,Procedural Generation,God Game","Single-player,Profile Features Limited??
									",English,NaN,"Indie,Simulation,Strategy,Early Access"," About This Game  BUILD. SMITE. REPEAT. Creo God Simulator is a game of building, decision-making, survival, and a ton of peasant smiting. As a newly-assigned lesser god, it's your job to build a society bit by bit, while convincing your new population to believe in you as their one true god. During your time as a god, you will discover new powers to use and more advanced buildings to place, but beware, as you progress, the randomized events generated by the AI enemy gods become more difficult. Can you beat the enemy gods and prove yourself as the one true God, or will you slowly fade from the memory of the people you created? FEATURES With God Powers come God Responsibilities In Creo God Simulator, you are the god. You are given incredible power to build great cities and smite the lowliest peasant. Here are some of the features regarding your newly-found godhood: Name your Religion and God Name Faith/Fear System: Your actions affect your follower's opinions of you Awesome God Powers: Meteors, lightning, the power's in your hands Town villagers have the ability to convert each other without your influence or approval (just like in the real world!) Build a Great Civilization Creo's unique build system allows you to place buildings in any position you want. Do you want a new shopping center? Go for it! Or perhaps a ghetto surrounding your mines? With Creo's build system, your imagination is the limit! Free-form building placement A variety of building types and models Creo-specific architecture style A New Gaming Experience?€?Every Time You Play Creo God Simulator boasts a procedurally generated world, quests, and events! No two playthroughs will ever be the same. Things could be going smoothly for your town, when suddenly, a raiding party attacks, while a volcano erupts, and locusts swarms descend upon your farms?€?this is just one example of the limitless stories that you can experience in Creo. Procedurally-generated maps, quests, and game events A wide variety of quest types and solutions Villagers have unique names, beliefs, and opinions ",,"Minimum:,OS:,Windows 7 SP1+,Memory:,4 GB RAM,Graphics:,Graphics card with DX10 (shader model 4.0) capabilities,DirectX:,Version 10,Storage:,100 MB available space","Recommended:,OS:,Windows 10,Memory:,6 GB RAM,Graphics:,Graphics card with DX10 (shader model 4.0) capabilities,DirectX:,Version 10,Storage:,100 MB available space",9.99,
https://store.steampowered.com/app/438270/Learn_Japanese_To_Survive_Hiragana_Battle/,app,Learn Japanese To Survive! Hiragana Battle,"The ideal introductory course to the Japanese language! Learn how to read and write Japanese characters (Hiragana) at a steady pace. A full-blown RPG specifically designed to keep you engaged. By playing along, you?€?re going to be introduced to the Japanese language like never before!",2019-01-10,Sleepy Duck,"Sleepy Duck,Sleepy Duck","Education,RPG,Indie,Adventure,RPGMaker,JRPG,Anime,Singleplayer,Female Protagonist","Single-player,Steam Trading Cards",English,NaN,"Adventure,Indie,RPG"," About This Game  Learn Japanese To Survive! Hiragana Battle is an educational game that is the ideal introductory course to the Japanese language! You?€?re reading this page now because you have more than a passing interest in learning Japanese. Maybe you?€?ve tried learning it before, but never had any luck? That?€?s completely normal, so don?€?t worry! Learning a language can be daunting. And with a language like Japanese, full of strange and wonderful written characters, you might not even know where to start. You need a learning tool that?€?s going to keep you interested, challenge you at the right pace, and most importantly, keep you coming back for more. That?€?s why Learn Japanese To Survive! Hiragana Battle was made! This isn?€?t just educational software ?€? this is a full-blown RPG specifically designed to keep you engaged. By playing along, you?€?re going to be introduced to the Japanese language like never before. Learn how to read and write Japanese characters (Hiragana) at a steady pace. There?€?s a new set of characters to learn each chapter, and your revision takes place on the battlefield! If your knowledge is up to scratch, you?€?ll claim victory in exciting strategic battles. If you?€?re falling behind, you have the opportunity to revisit specific chapters and brush up on your knowledge. As a bonus, you?€?ll also learn common Japanese words and phrases and important grammar points! What is Hiragana? Hiragana is the basic writing system used in Japanese. Japanese actually combines 3 different sets of characters to form written works ?€? Hiragana, Katakana and Kanji. This game focuses solely on Hiragana, the foundation. By learning Hiragana, you can write and pronounce nearly any Japanese word. Features: An exciting story based on the concept of learning Japanese. As the characters in the story learn Hiragana, you learn along with them! Learn every single Hiragana character, with detailed instructions on how to read and write each character. Visual animations displaying how to write each character. Audio speech examples demonstrate how to pronounce each character. Exciting gameplay with familiar RPG elements ?€? collect items, complete quests, engage in battles! Earn experience points and level up your characters. Revise completed lessons to brush up on your knowledge. In-game quizzes to test what you?€?re learning. ",,,,6.99,
https://store.steampowered.com/app/615780/Nancy_Drew_Treasure_in_the_Royal_Tower/,app,Nancy Drew??: Treasure in the Royal Tower,Follow Ancient Clues to Find Marie Antoinette?€?s Legendary Secret!,2019-01-11,HeR Interactive,"HeR Interactive,HeR Interactive","Adventure,Mystery,Point & Click","Single-player,Captions available",English,NaN,Adventure," About This Game Follow Ancient Clues to Find Marie Antoinette?€?s Legendary Secret!  While snowed-in at the Wickford Castle Ski Resort you, as Nancy Drew, are trapped in a place that?€?s as strange as its history. The castle is a riddle, full of dead-ends and detours that hint at a legend left behind by Marie Antoinette! Solve baffling puzzles, search concealed rooms, interview evasive suspects, and sidestep danger on the hunt for a secret that the doomed queen was desperate to hide in Nancy Drew: Treasure in the Royal Tower.",,,,9.99,
https://store.steampowered.com/app/500500/Simple_VR_Video_Player/,app,Simple VR Video Player,"Watch your videos in virtual reality with Simple VR Video Player, an easy to use video player with full motion control support and an intuitive interface. Simple VR Video Player can play your saved video files with 2D/180??/360?? and 3D/SBS/OU support.",2019-01-12,simplevr.pro,"simplevr.pro,simplevr.pro","VR,Utilities,Video Production",,English,NaN,"Utilities,Video Production"," About This Software Watch your videos in virtual reality with Simple VR Video Player, an easy to use video player with a full motion controller interface.  Simple VR Video Player can play your saved video files with 2D/180??/360?? and 3D/SBS/OU support. MAIN FEATURES 2D/180??/360?? Videos 3D Side By Side(SBS)/Over Under(OU) Video Support 180?? Fisheye Motion Control with HTC Vive Adjust Brightness/Contrast/Color/Gamma/Hue Settings Full Tilt/Distance/Height controls Scalable Super Sampling Resolution ""Super Enhanced"" Mode For Sharper Image Fidelity Saveable 180/360 Settings Unique For Each Video Virtual Play/Pause/Stop Buttons 3D Menus & File Navigation Haptic Feedback One-Handed Controls Curved Screens Multiple decoding engines including MediaFoundation and DirectShow Environments Mouse Control Support for Non-Motion Control Users DETAILS Motion Controls First The software was designed specifically for the HTC Vive with a ""motion controls first"" design philosophy. Unlike other VR video players, our interface is keyboard and mouse free so you can be completely immersed in VR without having to take off your headset to reach for obscure keyboard shortcuts. Easy Intuitive UI Play/Pause/Stop buttons using full hand motion controls and simple point & drag controls to customize your screen size and distance 180?? / 360?? Videos Maximize your 180 and 360 degree video experience with full customizable settings for Distance, Tilt, and Height 3D File Navigation Find your files quickly with our file browser rendered in 3D space Individual 180/360 Video Settings Achieve your perfect scale and save your settings that are unique for each video. Drag To Resize Do you want to watch a movie on a 100ft screen? Now you can can with a flick of your wrist using Simple VR Video Player's drag and resize controls using motion controllers. Advanced Features Even though Simple VR Video Player was designed to be easy and simple to use application for normal users, under the hood, there is a tremendous amount of advanced features you can explore and experiment with, especially for power users with high-end computers. Super Sampling Resolution Super sampling is a brute force rendering technique that greatly improves image quality in virtual reality headsets. It works by rendering the 3D scene an X percentage higher than the physical resolution of the display and then resizing/downsampling the image back to your display. This results in an expensive form of high quality anti-aliasing that delivers a cleaner looking rendered image.  You can fine tune super sampling settings in real-time. Introducing Super Enhanced Mode Simple VR Video Player is excited to introduce Super Enhanced Mode! Sharpen your video and drastically improve image fidelity by enabling ""Super Enhance"" in the options. The Super Enhance technique utilizes an intelligent sharpening algorithm to enhance contrast and details while maintaining image quality.  This feature when combined with high Super Sampling effectively upscales, sharpens, and downscales the video for greatly improved clarity especially on virtual reality headsets. Multiple Video Decoding Options Supports Microsoft Media Foundation, DirectShow, LibVLC, and PopMovie for multiple video decoding solutions. What Can It Play? Simple VR Video Player was built to take advantage of multiple video decoding engines in the backend to offer the greatest compatibility.  As a general rule of thumb, if your Windows Media Player can play the movie, so can Simple VR Video Player. Media Foundation (Win 8/10) is a super optimized DX11 hardware accelerated decoder built into the latest versions of Windows with full h264 decoding support. For more advanced users, you can change the video decoding engine to use another video backend such as DirectShow which allows you to use DirectShow decoders, filters, and splitters such as LAV and ffdshow.  Just choose the best decoding option for you! * Note: The player can't play Blu-ray discs since they are DRM'd and encrypted! It's Simple! We wanted to create the first simple and easy to use VR video player to take advantage of the Vive and it's hand motion controls.  We also wanted to make it powerful and customizable using familiar controls.  No other video player for the Vive compares to Simple VR Video Player for its simplicity and ease of use. More Info For more detailed information on features, go here: {LINK REMOVED} http://simplevr.pro/videoplayer/docs * Thanks to to the Blender Foundation's Big Buck Bunny and Tears of Steel for their open source films used in our videos and screenshots. (www.blender.org) ",,"Minimum:,OS:,Windows 7 SP1 / 8 / 10,Processor:,Intel i5-4590 or AMD FX 8350 equivalent or greater,Memory:,8 GB RAM,Graphics:,Nvidia GeForce GTX 970 equivalent or greater,DirectX:,Version 11,Storage:,250 MB available space","Recommended:,OS:,Windows 10,Processor:,Intel i7-3770 equivalent or greater,Memory:,16 GB RAM,Graphics:,Nvidia GeForce GTX 980 equivalent or greater,DirectX:,Version 11,Storage:,250 MB available space",7.99,
