#,Game,Releasedate,Price,Owners,Ownerslow,Ownershigh
22,Resident Evil 4,2023-03-13,59.99 ,"2,000,000??..??5,000,000",2000000,5000000
31,Barotrauma,2023-03-14,26.24 ,"1,000,000??..??2,000,000",1000000,2000000
1,Wartales,2023-03-15,26.24 ,"500,000??..??1,000,000",500000,1000000
2,Boundary,2023-03-16,22.49 ,"200,000??..??500,000",200000,500000
5,EVERSPACE 2,2023-03-21,49.99 ,"200,000??..??500,000",200000,500000
12,Crab Champions,2023-03-22,9.99 ,"200,000??..??500,000",200000,500000
15,DREDGE,2023-03-23,24.99 ,"200,000??..??500,000",200000,500000
24,Have a Nice Death,2023-03-24,24.99 ,"200,000??..??500,000",200000,500000
67,The Library of Babel,2023-03-27,18.99 ,"200,000??..??500,000",200000,500000
10,Wall World,2023-03-28,4.99 ,"100,000??..??200,000",100000,200000
25,Storyteller,2023-03-29,14.99 ,"100,000??..??200,000",100000,200000
36,Shardpunk: Verminfall,2023-03-30,10.79 ,"100,000??..??200,000",100000,200000
26,Deceive Inc.,2023-03-31,19.99 ,"50,000??..??100,000",50000,100000
29,WWE 2K23,2023-04-01,59.99 ,"50,000??..??100,000",50000,100000
70,Fruit Ninja VR 2,2023-04-03,24.99 ,"50,000??..??100,000",50000,100000
95,Ravenbound,2023-04-04,29.99 ,"50,000??..??100,000",50000,100000
18,Sifu,2023-04-05,39.99 ,"20,000??..??50,000",20000,50000
50,Oxygen,2023-04-06,14.99 ,"20,000??..??50,000",20000,50000
37,Cardboard Town,2023-04-07,19.99 ,"0??..??20,000",0,20000
49,Princess & Conquest,2023-04-08,11.99 ,"0??..??20,000",0,20000
52,Sidestep Legends,2023-04-10,4.99 ,"0??..??20,000",0,20000
58,Cynthia: Hidden in the Moonshadow,2023-04-11,12.59 ,"0??..??20,000",0,20000
72,Grimgrad,2023-04-12,16.99 ,"0??..??20,000",0,20000
80,Grow Your Pets,2023-04-13,4.99 ,"0??..??20,000",0,20000
94,1971: Indian Naval Front,2023-04-14,14.99 ,"0??..??20,000",0,20000
